中國地區
北京,BEIJING,PEK
上海,SHANGHAI,SHA
天津,TIANJIN,TSN
西安,XIAN,SIA
杭州,HANGCHOW,HGH
大連,DALIAN,DLC
青島,TSINGTAO,TAO
福州,FOOCHOW,FOC
廈門,XIAMEN,XMN
昆明,KUNMING,KMG
南京,NANKING,NKG
汕頭,SWATOW,SWA
桂林,GUILIN,KWL
成都,CHENGTU,CTU
廣州,CANTON,CAN
海口,HAIKOU,HAK
長沙,CHANGSHA,CSX
煙台,YANTAI,YNT
重慶,CHONGQING,CKG
溫州,WENZHOU,WNZ
三亞,SANYA,SYX
哈爾濱,HARBIN,HRB
深圳,SHENGZHEN,SZX
南昌,NANCHANG,KHN
港澳及台灣地區
香港,HONKKONG,HKG
澳門,MACAO,MFM
台北,TAIPEI,TPE
高雄,KAOHSIUNG,KHH
東北亞地區
東京,TOKYO,TYO
大阪,OSAKA,OSA
名古屋,NAGOYA,NGO
札幌,SAPPORO,SPK
福岡,FUKUOKA,FUK
沖繩,OKINAWA,OKA
漢城,SEOUL,SEL
釜山,PUSAN,PUS
東南亞地區 
新加坡,SINGAPORE,SIN
吉隆坡,KUALA LUNPUR,KUL
檳城,PENANG,PEN
怡保,IPOH,IPH
曼谷,BANGKOK,BKK
清邁, ,CNX
普吉島,PHUKET,HKT
古晉,KUCHING,KCH
雅加達,JAKARTA,JKT
巴里島,DENPASAR,DPS
棉蘭,MEDAN,MES
巨港,PALEMBANG,PLM
泗水,SURABAYA,SUB
仰光,RANGOON,RGN
河內,HANOI,HAN
金邊,PHNOM PENH,PNH
西貢,SAIGON,SGN
永珍,VIENTIANE,VTE
馬尼拉,MANILA,MNL
宿霧,CEBU,CEB
帝利,DILI,DIL
亞庇,KOTA KINABALU,BKI
達卡,DACCA,DAC
詩鄔,SIBU,SBW
塞班,SAIPAN,SPN
汶來,BANDER SERI BEGAWAN,BWN
新得里,DELHI,DEL
喀布爾,KABUL,KBL
吉大港,CHITTAGON,CGP
喀拉蚩,KARACHI,KHI
東加大埔,TONGGATAPU,TBU
諾魯,NAURU,INU
碧港,BAGUIO,BAG
孟買,BOMBAY,BOM
可倫坡,COLOMBA,CMB
加爾各答,CALCUTTA,CCU
馬德拉斯,MADRAS,MAA
加得滿都,KATHMANDU,KTM
中南美洲地區 
墨西哥,MEXICO CITY,MEX
聖薩爾瓦多,SAN SALVADOR,SAL
巴拿馬,PANAMA CITY,PTY
哈瓦納,HAVANA,BOG
波哥大,BOGOTA,UIO
基多,QUITO,LIM
利馬,LIMA,SCL
聖地牙哥,SANTIAGO,SAN
布宜諾艾利斯,BUENDS AIRES,BUE
聖保羅,SAN PAULO,SAO
里約熱內盧,RIO DE JANEIRO,RIO
巴西利亞,BRASSILIA,BSB
加拉加斯,CARACAS,CCS
開雪,CAYENNE,CAY
蒙地維多,MONTEBIDEO,MVD
